current,voltage,power,detection
0.03,2.46,0.09,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.03,2.46,0.06,0
0.02,2.46,0.06,0
0.02,2.46,0.05,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.02,2.46,0.06,0
0.03,2.46,0.06,0
0.03,2.46,0.06,0
0.02,2.46,0.06,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.04,2.46,0.09,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.06,2.46,0.14,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.02,2.46,0.06,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.03,2.46,0.07,0
0.03,2.46,0.07,0
0.04,2.46,0.1,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.02,2.46,0.06,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.03,2.46,0.07,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.03,2.46,0.08,0
0.0,2.46,0.0,0
0.04,2.46,0.1,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.03,2.46,0.06,0
0.04,2.46,0.1,0
0.03,2.46,0.06,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.02,2.46,0.06,0
0.02,2.46,0.06,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.46,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.02,2.46,0.05,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.44,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.45,0.0,0
0.0,2.44,0.0,0
0.0,2.44,0.0,0
0.17,2.5,0.42,1
0.13,2.49,0.32,1
0.1,2.48,0.24,1
0.17,2.5,0.43,1
0.14,2.49,0.34,1
0.13,2.49,0.33,1
0.15,2.49,0.38,1
0.11,2.49,0.27,1
0.15,2.49,0.36,1
0.16,2.49,0.39,1
0.07,2.48,0.16,1
0.11,2.48,0.26,1
0.11,2.49,0.28,1
0.13,2.49,0.32,1
0.08,2.48,0.2,1
0.12,2.49,0.31,1
0.12,2.49,0.29,1
0.09,2.48,0.22,1
0.08,2.48,0.21,1
0.11,2.49,0.28,1
0.05,2.47,0.12,1
0.07,2.48,0.16,1
0.08,2.48,0.2,1
0.06,2.48,0.14,1
0.09,2.48,0.22,1
0.09,2.48,0.23,1
0.1,2.48,0.26,1
0.1,2.48,0.25,1
0.11,2.49,0.27,1
0.12,2.49,0.31,1
0.09,2.48,0.23,1
0.06,2.48,0.16,1
0.1,2.48,0.26,1
0.11,2.48,0.27,1
0.09,2.48,0.21,1
0.02,2.47,0.06,1
0.08,2.48,0.2,1
0.1,2.48,0.24,1
0.08,2.48,0.2,1
0.07,2.48,0.17,1
0.06,2.48,0.16,1
0.0,2.47,0.0,1
0.08,2.48,0.19,1
